model_one,model_two,model_three
2214.9013115720054,1967.4994781842756,2262.4217602319363
1742.8404398141256,1377.4657057759143,1787.0808754194452
1740.6982440493848,1385.4510955401934,1779.051510270598
1662.6766991663992,1549.9003428490728,1716.116847421446
2383.3328506714242,2310.403132941229,2400.395039181882
1626.1727163658209,1639.8977406369465,1696.8997569832404
2019.3271386954104,1592.5366543833359,2086.966952017652
1673.8620061847494,1327.8019984477962,1750.2828289746
1649.5951597175954,1256.8041456199796,1719.8865652844092
1620.9305294061169,1229.9606909551792,1680.9561186188294
